[] Kind: captions
[] Language: ja
[00:00:00] こんにちはふさ子です今回は初級車から
[00:00:04] 中級車向けにブレンダーでキャラクター
[00:00:06] モデルを作成する方法を解説し
[00:00:09] ますトトたんというvtuberさんに
[00:00:12] デザインをご提供いただきましてこちらの
[00:00:14] デザインでキャラモデルを作成しますこの
[00:00:18] チュートリアルでは顔のモデリングから紙
[00:00:21] 服のモデリングあとはサブスタンス
[00:00:23] ペインターを使ったテクスチャペイントの
[00:00:25] 方法を解説します最終的にはUnityで
[00:00:29] RMモデルとしてセットアップするんです
[00:00:32] がUnityでのdrmモデル用
[00:00:34] セットアップ以外の部分はMMDやVR
[00:00:38] チットなど色々なキャラクターモデルを
[00:00:40] 作る上で参考になるかなと思います初めて
[00:00:44] キャラモデルを作る方は超初心者向けの
[00:00:47] チュートリアル動画を以前作成しており
[00:00:49] ますのでそちらを先にご覧ください今回の
[00:00:53] シリーズはちょっとブレンダーに慣れてる
[00:00:55] 人向けなのである程度ブレンダーの基本的
[00:00:57] な機能を理解してることが全になります
[00:01:01] UIも英語でやりますUIを英語にして
[00:01:04] おくことで海外のチュートリアルや
[00:01:06] チップスなどのリソースをフロに活用
[00:01:08] できると思いますので頑張って英語UIに
[00:01:11] 慣れていきましょうそれでは早速やって
[00:01:14] いき
[00:01:16] ますじゃまずはブレンダーを立ち上げて
[00:01:19] 最初にあるものは消しちゃって大丈夫なの
[00:01:21] でAで全部選択してXで削除し
[00:01:26] ます最初は参考画像を読み込むところから
[00:01:29] やりますねねシフトAから
[00:01:32] えイメージリファレンス
[00:01:37] でライトビューのところのチェックを外し
[00:01:40] てロードしますRX90で前を向かせて
[00:01:47] 天気の5番で平行投にして天気の1番で
[00:01:50] 正面から見
[00:01:52] ながら大体面につくくらいにしておけば
[00:01:56] いいか
[00:01:57] なたはちょっと底のを履いてるのでそれを
[00:02:01] 考慮してもうちょっと上にしておこうかな
[00:02:04] GZで上に上げてうんとりあえずこん
[00:02:07] くらいにしておきましょうでもうこの時点
[00:02:10] で身長を原寸のと端の大きさに合わせて
[00:02:15] おきたいのでシフトAからメッシュ
[00:02:19] プレインを追加してRX90で前向かせて
[00:02:23] GZ1で1m上に上げてあげ
[00:02:27] ますで3カーソル今えっとワールド原点に
[00:02:32] ありますよねこの状態で右クリックセット
[00:02:35] オリジンオリジンto3Dカーソルで原点
[00:02:38] をここに書いてあげ
[00:02:41] ますNキーで右上にメニュー表示させて
[00:02:45] アイテムのところを開いてからです
[00:02:49] ねアイテムのところを開いてXが横幅です
[00:02:54] ねYが高さなのでここをトタの身長
[00:02:58] 1.2mにしてあげます横幅はもう
[00:03:01] ちょっとちっちゃくてもいいかもこれを
[00:03:04] 一旦GXでちょっと横にずらしておいて
[00:03:08] これに身長を合わせてあげ
[00:03:10] ます参考画像の方を選択してキーボードの
[00:03:15] ピリオドでピボットポイント変えられます
[00:03:17] のでこれを3Dカーソルにしてあげ
[00:03:21] ますでSでちっちゃくすると3Dカーソル
[00:03:25] を起点として拡大縮小できますので
[00:03:30] これでさっき
[00:03:32] 1.2mにしたこの板と大体高さを合わせ
[00:03:35] てあげますまあと髪の毛もあるので大体ま
[00:03:40] こんなもんか
[00:03:41] な靴含め1.2mと解釈してやってあげ
[00:03:46] ますここまでできたらえっと参考画像を
[00:03:51] ですねシフトDで複製してエスケープを
[00:03:54] 押すと全く同じ位置に複製することができ
[00:03:56] ますでRZ90で横を向かせられますね横
[00:04:02] を向かし
[00:04:03] たらこの右の絵のアイコンのところから
[00:04:06] また新しい画像を読み込むことはできます
[00:04:10] フルダのところクリックして横向き画像を
[00:04:13] ロードし
[00:04:15] [音楽]
[00:04:17] てちょっと横にずらしてあげるんですけど
[00:04:20] これですねこれで横向き画像が読み込め
[00:04:23] まし
[00:04:24] た正面のもうちょっと奥にDYで移動させ
[00:04:29] ておきますね
[00:04:30] これで参考画像読み込めました
[00:04:33] ね参考画像はもうちょっと薄くしておいた
[00:04:37] 方が作業しやすいと思うので
[00:04:40] えっとシティのところチェック入れて
[00:04:43] ちょっと見やすいくらいにブスしておき
[00:04:46] ます
[00:04:47] ね横向きの画像も同じくらいこんくらいか
[00:04:54] なでこうこっち側絵のこっち側から見た時
[00:04:59] にはは表示されないでいいのでサイドを
[00:05:02] フロントにしておけばいいかなそうすると
[00:05:06] 中心側からは絵は見えるっていう状態に
[00:05:09] なってますね正面画像も同じように
[00:05:11] フロントだけにチェック入れておきます
[00:05:15] よしこれでいい
[00:05:16] でしょうこの身長の参考の板は一旦表示h
[00:05:21] で非表示にしておき
[00:05:24] ます
[00:05:26] ふふふよし
[00:05:30] まずは顔を作るところから始めていこうと
[00:05:33] 思いますシフトAからメッシュサークルを
[00:05:37] 追加し
[00:05:39] て頂点数をこの左下のところの
[00:05:42] パラメーターで変えられるんですけど
[00:05:45] とりあえず8にしておきますねでタブキー
[00:05:48] で編集モードに入ってRX90で前を向か
[00:05:52] せ
[00:05:53] ますで正面見ながらSでちっちゃくてGで
[00:05:58] 動かして
[00:06:01] あピボットポイントがですね3Dカーソル
[00:06:03] のままになってるのでキーボードの
[00:06:06] ピリオドでメディアンポイントに変えて
[00:06:08] おきますSでっし
[00:06:13] てGで動かして大体目の周りに来るように
[00:06:18] なんとなくで配置してあげ
[00:06:26] ます目尻はちょっとだけ
[00:06:31] とGYで動かして真上から見たらこんな
[00:06:35] 感じですねこんなちょっと下げておき
[00:06:39] ますオルトクリックでループ選択してEで
[00:06:46] 押し出ししつつ拡大ができるんでねこんな
[00:06:49] 風に目の周りにもうループを作ってあげ
[00:06:55] てで横から見ながらお横から見るとだいぶ
[00:07:00] 横のずとずれてることに気づいたのでAで
[00:07:02] 全部選択してGY
[00:07:05] で大体目の位置に来るように持ってきて
[00:07:08] あげ
[00:07:08] [音楽]
[00:07:10] ます目頭のところはもうちょっと前に前に
[00:07:15] 前にてあげ
[00:07:19] てメジのところもっと後ろでも大丈夫です
[00:07:24] ねこんくらいか
[00:07:27] [音楽]
[00:07:41] 大体雰囲気が合うように合わせてあげて
[00:07:45] ください今度は口の周り作っていきますね
[00:07:49] どっか頂点を1個選択してシフトDで複製
[00:07:53] し
[00:07:53] [音楽]
[00:07:54] ますで口の周り囲うようにいいいいいい
[00:08:03] でこんな感じで口の周りを作ってあげます
[00:08:07] この時点でミラーモディファイア追加して
[00:08:09] おきましょうかドモディファイアから
[00:08:11] ミラー追加し
[00:08:15] てもうちょっと小さくてもいいかもこ
[00:08:21] も後でちゃんと閉じるんですけど
[00:08:24] とりあえずこんな感じにしておきますねで
[00:08:28] 横から見ると口もだいぶ今奥の方に来
[00:08:30] ちゃってるのでGY
[00:08:32] でもっと前の方に持ってきてきあげますで
[00:08:36] 口のところがこういう風に斜めのラインに
[00:08:39] なってるのでそういう風になるように
[00:08:42] ちょっと斜めにしておきます
[00:08:44] [音楽]
[00:08:47] ね口の周りも目の周りと同じようにesで
[00:08:52] 押し出しし
[00:08:54] つつ拡大してあげます
[00:08:59] ミラーモディファイアのクリッピングの
[00:09:01] ところにチェック入れておくと真ん中の
[00:09:04] ところでピッとくっついてくれるので
[00:09:07] 真ん中のところはくっつくようにしておい
[00:09:10] てあげて
[00:09:11] [音楽]
[00:09:15] ください大体こんな感じでいいか
[00:09:18] なで横から見ながらこの外側のループ
[00:09:23] をグ
[00:09:25] と口のこの斜めのラインに合うようにに
[00:09:29] 傾けてあげ
[00:09:30] [音楽]
[00:09:34] ますじゃ次は鼻のラインを作っていって
[00:09:38] あげますねまずは目頭のところをも頂点
[00:09:42] 選択してEXで横に伸ばしてあげますで横
[00:09:48] から見
[00:09:49] ながらこの横側のラインに通うように
[00:09:53] ぐーっ
[00:09:55] と移動してあげます
[00:09:59] [音楽]
[00:10:03] で今度はここから押し出しし
[00:10:10] てここをつげてあげ
[00:10:14] [音楽]
[00:10:18] てこれはもうちょっと違うでもいいかこう
[00:10:22] すると大体この鼻のラインまでできました
[00:10:25] ね
[00:10:28] [音楽]
[00:10:32] 今度は頬から顎にかけてのラインを作って
[00:10:35] いきますこの目の下のラインを選択してE
[00:10:40] で押し出してあで回転し
[00:10:43] [音楽]
[00:10:45] ていい手押し出し手も真ん中まで持ってき
[00:10:49] てあげ
[00:10:50] [音楽]
[00:10:52] ますこれが横から見た時のこの顎のライン
[00:10:56] のところに来るようにうっと
[00:11:01] 持ってきてこれが顎の一番下の部分になる
[00:11:04] ように持ってきてあげ
[00:11:06] [音楽]
[00:11:13] ますこのラインが正面から見た時
[00:11:17] のこの顔の横のラインになるような感じに
[00:11:21] ざっくり持ってきておいてあげます
[00:11:23] [音楽]
[00:11:25] ねうん今こんな感じですここがだいぶ後ろ
[00:11:30] に下がっちゃってるなっていう感じがする
[00:11:32] のでGYでもちょっと前の方に持ってきて
[00:11:36] おいてあげます
[00:11:39] ね今ここの今作ったこの本から顎への
[00:11:45] ラインと口をだんだんくっつけていって
[00:11:47] あげたいのでコントロRでループ追加して
[00:11:53] Gで動かす
[00:11:55] [音楽]
[00:12:02] でこれは中心でマジしてあげたりかなこの
[00:12:05] 2点を選んでMマジ中心に重
[00:12:11] マジ
[00:12:13] マジ1回Mマージアトセンターってやって
[00:12:17] あげたらシフトRで最後のコマンドを
[00:12:19] リピートしてあげることができるので
[00:12:21] シフトR使ってもいいと思いますあとは鼻
[00:12:24] のこの1番高いところからぺたこういう風
[00:12:29] ラインで繋げてあげたらいいなと思うので
[00:12:32] コントロRでここにまずループ追加して
[00:12:35] ちょっと膨らま
[00:12:37] せるでここの辺を選択してFFで面を貼っ
[00:12:42] てあげられます
[00:12:45] ねで面を貼ってあげたらここがだいぶ
[00:12:48] へこんでるなっていう風に気づくのでと
[00:12:52] ムーブのギを私はよく使うんですけど
[00:12:55] ムーブのギオンにして右上のツールの
[00:12:59] ところでオリエンテーションをノーマルに
[00:13:02] しておくと放線方向にこう移動しやすいの
[00:13:07] でギスも使うのも全然ありだと思います
[00:13:11] こんな感じでこうめちゃめちゃへこんでる
[00:13:15] なっていうところ
[00:13:17] は移動してあげ
[00:13:21] てなだらかな変化になるようにしてあげ
[00:13:25] ます正面から見た時のこの横のラインに
[00:13:29] 合うようにすすと移動してあげてこれで
[00:13:35] 大体正面の顔ができましたねこの後
[00:13:39] まだまだ調整するんですけれど
[00:13:42] もえっと目の横から顎のラインを個頂点
[00:13:47] 選択してコントロールクリックでタタ距離
[00:13:50] でこのラインを選択できると思うので選択
[00:13:53] してあげてEYで後ろに押し出ししてあげ
[00:13:57] ます
[00:14:01] 1番下のところがこの首の付け根の近くに
[00:14:05] 来るところまで持って置いてあげたらいい
[00:14:08] か
[00:14:09] なこんなもんか
[00:14:12] [音楽]
[00:14:14] なで今度は顎の方から延長させてっていう
[00:14:19] 風にちょっとずつ顔のマスクを作っていっ
[00:14:22] てあげますいで押し出しして
[00:14:27] [音楽]
[00:14:34] この1頂点選択してFっていう風にやって
[00:14:37] も面を貼ってあげることはできますここを
[00:14:40] 選んで
[00:14:41] F1番上のおでこのラインは真上から見た
[00:14:46] 時にもうちょっとなだらかにこんな感じの
[00:14:51] なだらかなカーブを描いてて欲しいの
[00:14:53] [音楽]
[00:14:55] でこなるようにちょこっとといじってあげ
[00:15:00] ますで動かし
[00:15:03] てこのくらいまでできたところでサブ
[00:15:07] ディビジョンサーフェイスを追加してみ
[00:15:09] ますねアモディファイからサブ
[00:15:11] ディビジョンサーフェイス追加して見てみ
[00:15:13] ますうん今こんな感じです
[00:15:17] ね顎の先と鼻の先がもうちょっととんがっ
[00:15:22] てて欲しいので割を追加していこうと思い
[00:15:26] ますじゃあ鼻の周りにだけナイフツールで
[00:15:30] 割を追加しますねKでナイフツールをオン
[00:15:34] にして穴の先っちょの周りを囲うように
[00:15:38] クリッククリッククリックで作ってあげて
[00:15:41] 新しいカットを追加する時には右クリック
[00:15:45] してまた左クリック左クリック新しく
[00:15:49] 切り込み入れたいので右クリックして
[00:15:52] クリッククリックでエンターです
[00:15:56] ねこんな感じです
[00:16:00] で鼻のすぐ近くにこれが来るようにじじ
[00:16:04] でフライドしてあげて鼻の周りを囲うよう
[00:16:08] な感じで割を追加してあげますでサブ
[00:16:12] ディビジョンにするとこんな感じですね
[00:16:14] 先っちょだけもう
[00:16:17] ちょっとぴょいンってやってもいいかも
[00:16:20] しれないですねえい
[00:16:22] やうん鼻がチュンとしてくれましたねの下
[00:16:27] のとろここはコントロールRでループを
[00:16:30] 追加して顎の1番下のところだけGGで
[00:16:34] こうキュッと寄せておきます
[00:16:37] ねうんこんな感じでいいだろうかさっき
[00:16:42] より顎の先がチュンとしてくれましたね
[00:16:45] 広角の部分がこの頂点だとして上と下の
[00:16:50] 頂点数が合ってると口を閉じやすいので上
[00:16:53] にももう1ループ追加しておこうと思い
[00:16:55] ますこのこっち側かこっち側にループ追加
[00:16:59] したいいと思うんですけどこっち側の方が
[00:17:02] まだ余裕がありそうなの
[00:17:04] でコントロールオルトクリックするとこの
[00:17:08] リングが選択できますねこの状態で右
[00:17:12] クリックサブデバイドってやってスムース
[00:17:16] ネスっていうのを上げてあげるとちょっと
[00:17:18] ふんわりした割を追加してくれ
[00:17:23] ますでこう頂点同士があんまり偏りがない
[00:17:28] ようにちょっとだけずらしてあげます
[00:17:30] ねジで動かし
[00:17:34] [音楽]
[00:17:36] てで込みすぎてるところとかはちょっと
[00:17:40] だけ調整してあげます頂点同士があんまり
[00:17:43] 偏らないようにちょっとだけ調整してあげ
[00:17:48] [音楽]
[00:17:56] ますここから頭部の方を作っていきますね
[00:18:01] 頭部の方はうんとQみたいなものを追加し
[00:18:05] てそれをガイドとしてなぞるような感じで
[00:18:08] 作っていこうと思いますシフトAから
[00:18:12] メッシュキューブを追加してこれにサブ
[00:18:16] ディビジョンサーフェイスのえっと割を2
[00:18:20] にしたものを追加してあげますこれをSで
[00:18:24] ちっちゃくし
[00:18:26] てGZで上にし
[00:18:29] [音楽]
[00:18:33] ておちょうどままいい位置にいます
[00:18:38] ねこんなもんでいいか
[00:18:41] [音楽]
[00:18:43] なこれをガドとしてなぞるような感じで面
[00:18:48] を貼っていこうと思いますこのままだと
[00:18:50] ちょっと作業ししづらいのでオプティマル
[00:18:53] ディスプレイのチェック外してから
[00:18:57] オレンジの四角のとこでポート
[00:18:59] ディスプレイのディスプレイズのところ
[00:19:02] ワイヤーにしておきますねこれなぞり
[00:19:06] ながらで作っていこうと思い
[00:19:08] ますキで編集モードに入っ
[00:19:13] て1番前の3頂点選択してEで押し出しR
[00:19:20] で書いてE
[00:19:26] [音楽]
[00:19:36] 体この辺まででいいかなここまでできたら
[00:19:41] 頭の側面をちょっとずつ穴埋めしていって
[00:19:44] あげます1頂点選んでFで面を貼っ
[00:19:50] てもうちょっとこれ横に持ってきて
[00:19:55] あげるこの4頂点を選んでFで面を貼る
[00:20:01] ここの1頂点選んでFで面を
[00:20:04] 貼るこれはもうちょっと横でいいか
[00:20:08] [音楽]
[00:20:11] な今頭だけ表示するとこんな感じです
[00:20:16] ねここにコントロRでループを追加して
[00:20:20] オルトSでちょっと膨らましてあげるここ
[00:20:23] もコントロールRでループ追加してオルト
[00:20:26] Sでちょっと膨らまし
[00:20:29] こもコントロールRでループてオルトSで
[00:20:32] ちょこっととくらましてあげるこれで
[00:20:35] ちょこっとと丸っぽい頭になってきつつ
[00:20:39] あります
[00:20:40] ねここまでできたらこの顎の下のラインと
[00:20:46] このラインがなんとなく繋げられそうなの
[00:20:49] でこのラインはもうちょっとGGでボルト
[00:20:54] クリックでループ選択してGGでちょっと
[00:20:57] 後ろに下げてあげでここにもループ追加し
[00:21:02] てオルトSでちょっと膨らませてからこれ
[00:21:05] とこれをつげてあげましょうか2て選でま
[00:21:10] アットラストでいいかなうん大体こんな
[00:21:15] もんしたらあとはここに面を貼ったらなん
[00:21:19] となく穴が埋められそうです
[00:21:23] ねでここなんかカクンと引っ込んじゃっ
[00:21:26] てるのでそういうところは
[00:21:29] [音楽]
[00:21:31] くらましてあげる飛び出てるところは
[00:21:33] ちょっとへこましてあげる感じでなだらか
[00:21:37] に穴を埋められているのではないでしょう
[00:21:40] かまだこの目の横のラインとこの後ろの
[00:21:46] ラインがつげられそうなのでニループを
[00:21:50] コントロR出してオルトSでちょっと
[00:21:53] 膨らませてFFで面を貼ってあげますね
[00:22:00] 頭の側面がすごくへこんでる感じがするの
[00:22:03] でこの辺はオルトSで膨らましてあげます
[00:22:08] いいや
[00:22:10] [音楽]
[00:22:15] えい首は延中から作ってあげましょうか
[00:22:20] シフトAからメッシュシリンダー追加して
[00:22:24] 点数は
[00:22:27] うん12でキャップはなしにしてこの蓋
[00:22:32] ですね蓋なしの状態にしてあげますSで
[00:22:36] ちっちゃくして上持ってきてあGZで真上
[00:22:42] に移動してSで着
[00:22:46] [音楽]
[00:22:48] する大体の位置に持ってきてあげ
[00:22:53] ますき編集モードに入っ
[00:22:57] ての根のところのループをESで押し出し
[00:23:02] しつつ拡大してあげ
[00:23:05] [音楽]
[00:23:09] てここと頭をつげるぞっていう意外でやっ
[00:23:14] ていきますこれちょっとGGで下げておき
[00:23:16] ましょうかこんな感じか
[00:23:20] なで一旦オブジェクトモード戻ってから
[00:23:25] オートミラーをオンにしてあげて
[00:23:28] UB顔の順でシフト選択してからコントロ
[00:23:32] Jで一緒のオブジェクトにしてあげますで
[00:23:35] ここから少しずつ繋げていきますねここ
[00:23:38] からどういう風に繋げていくかっていうの
[00:23:41] がだんだん難しくなってくるんです
[00:23:43] けど例えば頭の後ろと首の後ろのところは
[00:23:47] 繋げられそうなのでFで面を貼ってここと
[00:23:52] ここも繋げられそうかなっていうのでFで
[00:23:55] 面を貼っ
[00:23:56] てコントロRでちょっと膨らませる
[00:24:01] コントロRでループ追加してちょっと
[00:24:05] 膨らま
[00:24:07] せるここも面を貼れそうで面貼ったらGG
[00:24:13] でちょっと移動してあげるこれもGで
[00:24:17] ちょっと上に上げるって感じでちょっと
[00:24:19] ずつ面を貼っていってあげ
[00:24:23] ます上から2個面が来てるのでここにもう
[00:24:27] 1ループ化し
[00:24:30] [音楽]
[00:24:33] たらFFっていう風に面が貼れそうなん
[00:24:37] ですけどこの辺が結構線が頂点が詰まっ
[00:24:41] ちゃうので
[00:24:43] うーんこの辺一緒にしちゃってもいいかも
[00:24:47] しれないですね
[00:24:49] マジマジ
[00:24:52] マジでここだけ変を選択してディブエッ
[00:24:58] するとここが最終的に四角面になって
[00:25:01] くれるのでこんな感じでいいのではない
[00:25:05] でしょうか今度は顎の前の方もつげていき
[00:25:09] ますねこFで繋い
[00:25:15] でここもFで繋い
[00:25:21] でこをFで繋いででする
[00:25:26] とあととここに1ループぐらい追加た
[00:25:31] 大丈夫そうです
[00:25:33] ねこの3辺選んでえっとサブディバイドな
[00:25:38] んですけどサブデバイドしち使うのでこの
[00:25:41] 辺りでショートカット追加しておくのが
[00:25:43] いいと思いますまずは右クリックでサブ
[00:25:47] ディバイドのメニューを出してさらに右
[00:25:50] クリックしてえっとアサインショートカッ
[00:25:53] トっていうのがあると思うのでそこで好き
[00:25:55] なショートカットをえっと割り当てして
[00:25:58] あげてください私はコントロWにしてます
[00:26:02] ねここをサブディバイドしてあげ
[00:26:07] てさらにこの辺をサブリバイドしてあげて
[00:26:11] 繋げてあげたら大丈夫です
[00:26:15] [音楽]
[00:26:17] ねでこの面を
[00:26:20] FFで目張りしてあげるとこれで大体穴が
[00:26:25] 埋まってくれましたね
[00:26:29] ラブディビジョンオンにして様子を確認し
[00:26:31] てみましょうか
[00:26:33] うんとりあえずこんな感じですね横から見
[00:26:38] た時のこの顎のラインがぬるっと変形し
[00:26:41] ちゃってるのでこれもうちょっと際立た
[00:26:44] せるためにエをキュっと寄せてあげます
[00:26:48] GGで寄せてあげ
[00:26:53] [音楽]
[00:26:54] てこれで顎のラインがちょっとだけシュッ
[00:26:57] とししてくれました
[00:26:59] [音楽]
[00:27:01] ね全体的にその元の参考の画像よりも
[00:27:06] えっとサブディビジョン使うことによって
[00:27:08] しぼんじゃうのでオルトSとかで膨らまし
[00:27:11] てあげますこのほっぺのこのラインとかは
[00:27:15] 結構ぐーっと前に出してもいいかもしれ
[00:27:19] ないですねほっぺがグっとしてた方が
[00:27:22] 可愛い
[00:27:23] から可愛い
[00:27:26] からここまでの作業は全部平行投映でやっ
[00:27:29] てたんですけどと電気の5番で投資投映に
[00:27:35] 変えられますトストっていうのがパースが
[00:27:37] かかった状態ですねNキーで右上に
[00:27:41] メニュー出してアイテムツールビューの
[00:27:44] メニューの中のフォーカルレングスって
[00:27:46] いうのがパースの強さですねこれ
[00:27:48] ちっちゃくするとすごいパースが強く
[00:27:51] かかってる状態になって大きくするとパス
[00:27:54] が弱い状態になりますでここの数値は80
[00:27:59] くらいにしていくのが妥当かなと思います
[00:28:02] どんなコンテンツでこのモデルを使用する
[00:28:05] かにもよるんですけど
[00:28:08] そのVRチャットとかMMDとかその使う
[00:28:13] 用途に分けてこの辺は合わせておくのが
[00:28:15] いいと思いますで合わせた上でヘコトと年
[00:28:20] ト微妙に切り替えながらずっと投資投映の
[00:28:24] まま作業してもいいと思うんですけど最終
[00:28:27] 的なそのモデルの見た目って絶対にパース
[00:28:31] がかかった状態になると思うので最終的な
[00:28:36] 見た目でどういう風になるのかなっていう
[00:28:38] のを意識しながら作っていくのがいいと
[00:28:41] 思い
[00:28:44] ます頭の形の参考にしたやつはもうXで
[00:28:49] 削除しちゃいます
[00:28:51] ねじゃ今度は目の中のところも作ってあげ
[00:28:54] ましょうかで今目の頂点がですねこの目の
[00:28:59] 目頭がここ目尻がここだとしたら下が4
[00:29:03] 頂点上が3頂点ってなってるので上と下の
[00:29:07] 頂点数が合ってると目を閉じるのが作り
[00:29:10] やすいので今のうちにちょっとループ追加
[00:29:13] しておきましょう
[00:29:14] かコントロールRでループ追加するしよう
[00:29:18] とするとこの顔の白まで行ってまた前に
[00:29:23] 戻ってくるぐるっとループが追加されちゃ
[00:29:27] うっぽいので
[00:29:29] うんこの辺まで変を選択してあげて
[00:29:34] コントロしてあげてからダブデバイドして
[00:29:38] あげ
[00:29:42] てここもサブディバイドするでこことここ
[00:29:47] をJで繋いであげるまたここもサブ
[00:29:51] ディバイドするでこことここをJで繋いで
[00:29:55] あげるってやったらこの四角面がたまま
[00:29:58] ループが追加できますのでこんな感じで
[00:30:01] 追加してあげるといいと思います今ここに
[00:30:05] 割を追加したんですけどそれによって面の
[00:30:08] 密度に偏りができちゃいましたよね偏りが
[00:30:12] あるとサブディビジョンサーフェスとか
[00:30:15] 使った時にうんとそこだけちょっと見た目
[00:30:19] が変わっちゃうというかそこにシが寄っ
[00:30:22] ちゃったりとかしやすいので偏りをなくす
[00:30:25] ために一旦スカルプトモードに入って
[00:30:30] ワイヤフレーム表示してた方が分かり
[00:30:32] やすいかもビューポートディスプレイの
[00:30:35] これかなワイヤーフレームにチェック入れ
[00:30:37] ておいてこれスライドリラックスっていう
[00:30:41] のをオンにして
[00:30:43] からテフでプラシの大きさ変えれるんです
[00:30:46] けどプラシの大きさちょっと大きくして
[00:30:48] シフトしながらこう撫でてあげると面の
[00:30:52] 偏りがちょっと緩くなってくれるの
[00:30:55] でスススと片なっていうところ
[00:30:59] だけ鳴らしてあげますうんこうしてみると
[00:31:04] こことここは繋げられそうだなと思うので
[00:31:07] Mで混じってしてみるとなんかさっきより
[00:31:10] すっきりしたトポロジになったのではない
[00:31:14] でしょうかうん終わりよければ全て良し
[00:31:17] って感じですねそしたら今度は目の奥の
[00:31:20] 白目のところも作ってあげましょうか
[00:31:23] オルトクリックでループ選択して
[00:31:28] EYで後ろに押し出ししてここをちょっと
[00:31:31] Sで大きくしてあげ
[00:31:35] ます一旦シフトhで他は非表示にしても
[00:31:38] いいかなで繋げられそうなところを選んで
[00:31:42] 面をは
[00:31:44] てここにコントロールRで1個ル追加し
[00:31:48] たらFFFFこれで穴は埋められました
[00:31:55] ねちょっと奥が感じでここだけ後ろの方に
[00:32:00] 下げておきましょう
[00:32:02] かオルトhで他もう1度再表示させてサブ
[00:32:07] ディビジョンオンにしてみるとこんな感じ
[00:32:09] です
[00:32:11] ねこのこのループとここの
[00:32:17] ループうんここここここちょっと見づらい
[00:32:23] です
[00:32:24] けどディビジョン
[00:32:28] 分かりやすいかなこここここここの部分
[00:32:35] はサブディビジョンオンにした時にまるっ
[00:32:38] とならないようにシフトEでクリースかけ
[00:32:41] ておきますあとついでにコントロEで
[00:32:45] マークシャープっていうのもしておきます
[00:32:47] ねこれしておくとえっとシェードオート
[00:32:51] スムースっていうのをオンにしてアングロ
[00:32:54] 180°にしてあげたら全体は塗ると
[00:32:58] なめらかなえっと見た目にしてくれるん
[00:33:02] ですけど今先きマークシャープってした
[00:33:05] ところだけはパキッとしてくれるのでこの
[00:33:08] 目の周りとこの奥のところはパキッとさせ
[00:33:10] たシェーディングにしておいていいのでは
[00:33:13] ないでしょう
[00:33:14] かここちょっとへこんでるちょっと前に
[00:33:18] 出しておきますねこちの中の空洞も作って
[00:33:21] おきましょうかオルトクリックでループ
[00:33:24] 選択してここも先にシEでクリースかける
[00:33:29] のとコントロEのマークシャープもやって
[00:33:33] おきます
[00:33:34] [音楽]
[00:33:37] ねでEで押し出ししてSで大きくして
[00:33:45] おお横幅が偉いこっちゃSZで大きくして
[00:33:50] SXでちょっと横に伸ばしてあげるでも
[00:33:54] ここはクリースいらないのでクリースを
[00:33:58] 右上のところでオフしてあげてコントロE
[00:34:01] でクリアシャープ
[00:34:04] と口の中あんま見えないので形はあんまり
[00:34:09] こだわらなくていいと思うんですけど元の
[00:34:11] 口よりもちょっと大きいくらいの大きさの
[00:34:15] 空洞を作っておいてあげたらいいんじゃ
[00:34:17] ないかなと思い
