[00:00:00] 目でだいたい花王の外径はできたので今度 は目とかまつ毛とかを作っていこうと思い ますじゃあまずは目を作るとして シフトAからメッシュUV機を追加して RX90で真ん前を向かせてあげます
[00:00:21] 一番前の頂点選択してコントロール+で ポートポイっと 選択範囲を拡大できるんですけどだいたい これくらいを 選択できたらそのそれ以外コントロール愛
[00:00:35] で選択範囲を 反転させて Xで頂点を削除って言ったら瞳だけ残って くれますね 瞳はちょっとだけ
[00:00:46] 奥まったような形にしておきたいので うーんとプロポーショナル 編集をオンにしてここの形状をスフィアし ておきますではいってやるとちょっと 範囲をマウスのホイールでくるくるって
[00:01:02] やって調整するんですけどこれでちょっと 凹んだ形にできますよね そしたらオブジェクトモードでSで ちっちゃくして 動かして目らへんに持っていきます
[00:01:19] [音楽] ちょっと 縦長にしたいのでSXで ゲームしましょうかうーんこんなもんかな そしたら真上から見ながらちょっとだけ外
[00:01:41] を向かせてあげて 今度は横から見ながらちょっとだけ下向か せてあげますこの状態でだいたいしたいな 下絵の位置に合うようにGで動かしてあげ ます
[00:01:54] [音楽] 上から見るとちょっと外向き横から見ると ちょっと下向きっていう感じですね これでついででちょっと前に持ってきて あげたらこんな感じですね
[00:02:13] ミラーモディファイや追加してミラー オブジェクト 最初に作った顔にしてあげると顔を中心に ミラーがかかってくれます [音楽]
[00:02:26] 目はだいたいこんなもんでいいかなもう ちょっと下げておいてもいいかもこんな 感じかな じゃあ今度はまつげ作りましょうか [音楽]
[00:02:41] まつ毛は プロポーショナル編集はもう使わないので offっておきますね まつ毛になりそうだなっていう部分の エッチを選択して
[00:02:55] こんなもんかなシフトDで複製エスケープ で全く同じ位置に複製します作業しやすい ように一旦オブジェクトを分けておきます ねPで 選択したものを分離させて
[00:03:12] でまつげ選んでからここから作っていき ます 今まつ毛の起点がオレンジのラインなん ですけど横から見た時に断面が こんな感じのちょっとダイヤモンドっぽい
[00:03:25] 感じになるような感じで作っていきます ESで押し出ししつつ 拡大して 今押し出した部分がこのまつげの外側の ラインになるような感じに
[00:03:42] 調整します 顔に埋まっちゃってる部分は色合いで ちょっと前に持っていきますね [音楽] 猫のまつげの外側洗濯して
[00:04:00] [音楽] ESで 押し出ししつつ 縮小して 今度はこれがまつ毛の内側のライン
[00:04:11] に来るような感じに調整してあげます 内側行き過ぎちゃってるところはちょっと GYで 前に持ってきておきますね [音楽]
