[00:00:00] パーツが大体できたのでここからはボンを 入れていこうと思います今回作るのは
[00:00:06] 入れていこうと思います今回作るのは vrm用のモデルなのでvrm用の本を
[00:00:11] vrm用のモデルなのでvrm用の本を 入れてあげますうんポン入れる前にま地面
[00:00:15] 入れてあげますうんポン入れる前にま地面 と設置してないので全体的にちょっと下に
[00:00:19] と設置してないので全体的にちょっと下に 下げてありますね表示にしてる
[00:00:21] 下げてありますね表示にしてる オブジェクトがあったら全部一緒に表示し
[00:00:25] オブジェクトがあったら全部一緒に表示し てあげてシフト押しながら目のアイコン
[00:00:28] てあげてシフト押しながら目のアイコン クリックしてあげると全部表示してくれる
[00:00:30] クリックしてあげると全部表示してくれる と思いますここもですねシフトをしながら
[00:00:34] と思いますここもですねシフトをしながら 全部いじれる状態印アオンに下状態にして
[00:00:38] 全部いじれる状態印アオンに下状態にして おいてAで全選択してGZで下に下げ
[00:00:43] おいてAで全選択してGZで下に下げ てこの作った靴が地面と設置するくらいの
[00:00:46] てこの作った靴が地面と設置するくらいの 位置に持ってきておきますしたらいらない
[00:00:49] 位置に持ってきておきますしたらいらない やつは非表示にしといてオッケーこれいら
[00:00:53] やつは非表示にしといてオッケーこれいら ないいら
[00:00:56] ないいら ない拭とアクセサリーも示にしておきます
[00:01:02] ない拭とアクセサリーも示にしておきます これは手を作った時に入れておいたボです
[00:01:04] これは手を作った時に入れておいたボです ねこの手の部分だけはこれを使おうと思い
[00:01:07] ねこの手の部分だけはこれを使おうと思い ますが体はvrm用のアドンを使うと思い
[00:01:11] ますが体はvrm用のアドンを使うと思い ますvrmインポートエクスポートみたい
[00:01:15] ますvrmインポートエクスポートみたい な名前だったと思うんですけどそちらの
[00:01:17] な名前だったと思うんですけどそちらの ダウンロードリンクは概要欄に貼っておき
[00:01:20] ダウンロードリンクは概要欄に貼っておき ますそれ有効化しておくとshifAから
[00:01:24] ますそれ有効化しておくとshifAから マチはvrmヒューマノイドドっていうの
[00:01:27] マチはvrmヒューマノイドドっていうの 追加するとほいとここに出てくるんですよ
[00:01:32] 追加するとほいとここに出てくるんですよ ねこれを使ってあげようと思います
[00:01:35] ねこれを使ってあげようと思います ヒューマノイド形式っていうユニティに
[00:01:38] ヒューマノイド形式っていうユニティに 持っていってこう人型として扱ってくれる
[00:01:41] 持っていってこう人型として扱ってくれる 形になってるのであのVRチャットとか
[00:01:44] 形になってるのであのVRチャットとか ユニティに持っていく予定の人はこれ利用
[00:01:46] ユニティに持っていく予定の人はこれ利用 してもいいんじゃないかなと思いますまず
[00:01:49] してもいいんじゃないかなと思いますまず はこのオレンジの四角アイコンのところ
