[00:00:00] 体の上とはだいたいできたかなと思うので 次は服のウェイトをやっていこうと思い
[00:00:05] 次は服のウェイトをやっていこうと思い ます
[00:00:05] ます [音楽]
[00:00:06] [音楽] 一旦
[00:00:08] 一旦 OSモードで元の
[00:00:10] OSモードで元の 形状にALTRAALTで戻しておいて
[00:00:14] 形状にALTRAALTで戻しておいて 服のオブジェクト表示させますこの
[00:00:18] 服のオブジェクト表示させますこの ウェイトは体からウェイトを転送するやり
[00:00:20] ウェイトは体からウェイトを転送するやり 方でやろうと思うんですけど今さっき
[00:00:23] 方でやろうと思うんですけど今さっき ウェイトペイントしてあげた体を重複製し
[00:00:27] ウェイトペイントしてあげた体を重複製し ておいて
[00:00:29] ておいて 実際使う用の体とベイト
[00:00:33] 実際使う用の体とベイト 転送用の体を分けておこうと思います
[00:00:37] 転送用の体を分けておこうと思います なんかウエイト転送用の形状を変えたい
[00:00:39] なんかウエイト転送用の形状を変えたい なっていう時があるんですよねなので一応
[00:00:43] なっていう時があるんですよねなので一応 ウェイトと
[00:00:45] ウェイトと ダンスファーボディとか名前にしておいて
[00:00:50] ダンスファーボディとか名前にしておいて コレクションもじゃあ分けておきます
[00:00:53] コレクションもじゃあ分けておきます 新しいコレクション作って
[00:00:58] 新しいコレクション作って 作業フォルダの1個下くらいにしておき
[00:01:00] 作業フォルダの1個下くらいにしておき ますね
[00:01:04] コレクションの名前変えて ウェイト転送用の体は2個目のフォルダに
[00:01:11] ウェイト転送用の体は2個目のフォルダに 移動しました
[00:01:13] 移動しました さっき作ったアマチュアートの
[00:01:14] さっき作ったアマチュアートの コレクションにも
[00:01:16] コレクションにも 属してないみたいな感じになってるので
[00:01:17] 属してないみたいな感じになってるので 作業用フォルダに移動しておきます
[00:01:20] 作業用フォルダに移動しておきます これですね
[00:01:23] これですね でまずはトロワーズから
[00:01:26] でまずはトロワーズから ウィット転送してみようと思います
[00:01:29] ウィット転送してみようと思います うんとドロワーさん選んで
[00:01:32] うんとドロワーさん選んで モリファイアからデータトランスファーを
[00:01:35] モリファイアからデータトランスファーを 選択してソースはさっき作った
[00:01:38] 選択してソースはさっき作った ウェイト転送用の体を選べます
[00:01:42] ウェイト転送用の体を選べます ね
[00:01:43] ね バーテックスデータにチェック入れて
[00:01:45] バーテックスデータにチェック入れて バーテックスグループをオンにして
[00:01:47] バーテックスグループをオンにして マッピングはニアレストフェイス
[00:01:49] マッピングはニアレストフェイス インタープリテッドにしておきます
[00:01:53] インタープリテッドにしておきます この辺の設定はそのままで大丈夫なで
[00:01:57] この辺の設定はそのままで大丈夫なで ジェネレートデータレイヤーズってやって
