[00:00:00] 次は後ろ髪に本を入れたりしていこうと 思います後ろ髪は前髪とかとちょっと流れ
[00:00:06] 思います後ろ髪は前髪とかとちょっと流れ が違うんだけど
[00:00:08] が違うんだけど 概ねやってることは一緒ですねまずは
[00:00:11] 概ねやってることは一緒ですねまずは シフトSからカーソル2ワールドオリジン
[00:00:14] シフトSからカーソル2ワールドオリジン でワールド限定に3Dカーソルを移動し
[00:00:16] でワールド限定に3Dカーソルを移動し ます
[00:00:17] ます シフトAからメッシュシリンダー
[00:00:22] シフトAからメッシュシリンダー 追加して
[00:00:23] 追加して 頂点数8でいいかな8でキャップフィル
[00:00:29] 頂点数8でいいかな8でキャップフィル タイプはNothingにして
[00:00:31] タイプはNothingにして 穴空いてる状態にしますでこれちっちゃく
[00:00:34] 穴空いてる状態にしますでこれちっちゃく してGZで上を持ち上げて
[00:00:40] 紙を覆うような感じのを作ってあげます この辺から揺らそうと思うのでその
[00:00:46] この辺から揺らそうと思うのでその 揺らすところらへんまで持ってきて
[00:00:49] 揺らすところらへんまで持ってきて ジジイで上あげて
[00:00:52] ジジイで上あげて 手前のところは
[00:00:56] 手前のところは 移動しちゃいます
[00:00:58] ここはオルトエースでちょっと 縮めてあげたらいいかな
[00:01:03] 縮めてあげたらいいかな このくらいでいいと思う
[00:01:07] このくらいでいいと思う 上はちょっとオルトSで広げておきます
[00:01:11] 上はちょっとオルトSで広げておきます こんくらいでいいかな
[00:01:13] こんくらいでいいかな ざっくり後ろ髪覆うような感じにしておき
[00:01:16] ざっくり後ろ髪覆うような感じにしておき ますそしたら
[00:01:18] ますそしたら キーボードのスラッシュでこれだけに表示
[00:01:20] キーボードのスラッシュでこれだけに表示 して
[00:01:21] して シフトAからあーマッチはシングルボーン
[00:01:25] シフトAからあーマッチはシングルボーン を追加しますでシフトタグからスナップ
[00:01:29] を追加しますでシフトタグからスナップ オンにしてスナップ先頂点になってる状態
[00:01:33] オンにしてスナップ先頂点になってる状態 でピット
[00:01:36] でピット ピット
[00:01:37] ピット [音楽]
[00:01:39] [音楽] この今作った
[00:01:42] この今作った 面に沿わせる感じでポーンを配置しようと
[00:01:45] 面に沿わせる感じでポーンを配置しようと 思います
[00:01:47] ピストリーで複製して
[00:01:51] これもシフトでリラックスして
[00:01:55] 本名はペアバッグ ドットA
[00:02:03] ドットA 001
[00:02:06] ではペアーバックトットビー [音楽]
[00:02:12] [音楽] .001
[00:02:14] .001 エアーバック
[00:02:16] エアーバック シート
[00:02:19] シート 1
[00:02:20] 1 リネームしてあげたら右クリック
[00:02:23] リネームしてあげたら右クリック サボディバイドで2段階に分けてあげます
[00:02:28] サボディバイドで2段階に分けてあげます そしたらAとBだけ選んで右クリック
[00:02:31] そしたらAとBだけ選んで右クリック ネームズオートネームレフトライトで
[00:02:34] ネームズオートネームレフトライトで ドットLっていうのをつけてあげさらに右
[00:02:37] ドットLっていうのをつけてあげさらに右 クリックのシンメトライスでドットRって
[00:02:40] クリックのシンメトライスでドットRって いうのも作ってあげます一旦
[00:02:43] いうのも作ってあげます一旦 元のビューに
[00:02:44] 元のビューに [音楽]
[00:02:45] [音楽] キーボードのスラッシュで戻って
[00:02:47] キーボードのスラッシュで戻って メッシュの方を選んでる状態で
