[00:00:01] ウェイトがだいたいできたところで次は
[00:00:03] UV展開をやっていこうと思います
[00:00:06] [音楽]
[00:00:07] UV展開する前にテクスチャをどういう風
[00:00:10] に分けるかっていうのをまずは考えた方が
[00:00:13] いいんですけれども自分はどういう単位で
[00:00:16] マテリアルを分けてそれぞれにテクスチャ
[00:00:19] を割り当てたらいいかって考えたらいいと
[00:00:21] 思います今回は顔を
[00:00:24] 紙体の肌
[00:00:27] 服のインナー
[00:00:28] 服のアウターそれ以外のアクセサリー類で
[00:00:32] 分けようと思います顔に関しては
[00:00:35] 透過したい部分例えば目のハイライトとか
[00:00:38] 赤んだ方とか青ざめとかですねそういった
[00:00:42] 10日を使うものはまた別のテクスチャに
[00:00:45] したいと思うのでそこはUVを分けようと
[00:00:48] 思いますマテリアルを分ける基準的には
[00:00:51] オブジェクトの塊をどういう風にするかと
[00:00:54] か
[00:00:56] 影の色例えば肌は赤っぽい加減にしたくて
[00:00:59] 服は水色っぽい影にしたいとか
[00:01:01] アウトラインダストが出さないとかあとは
[00:01:04] 金属
[00:01:06] っぽい質感にしたやつはもうそれは別の
[00:01:08] マテリアルに分けておくとかですねという
[00:01:11] 風にどういう風にマテリアルを分ける
[00:01:13] かっていうのと一緒に
[00:01:16] UVの単位も考えてあげたらいいんじゃ
[00:01:18] ないかなと思います
[00:01:19] もっと細かくアイテムごとにテクスチャを
[00:01:23] 空けてたりとかあとはゲームとかだともう
[00:01:26] 全部1個のテクスチャにしてたりとかも
[00:01:28] あるんですけど自分が使いたい
[00:01:30] プラットフォームで周りはどうしてる
[00:01:32] かっていうのを確認したらいいんじゃない
[00:01:33] かなと思いますあとはUV展開の前に
[00:01:36] いろいろやることがあって例えば
[00:01:39] ソリティファイモニファーやとか
[00:01:41] 厚みつけてたりベベルとかそういった形状
[00:01:44] が変われるようなモディファイアは適用し
[00:01:47] てでCM入れたりとか今回
[00:01:51] 歯とかしたとかまだ作ってないので作り
[00:01:54] 忘れてるものがあったら作っとく当たり前
[00:01:56] かそれとスケールの値ですねオブジェクト
[00:02:00] のスケールが
[00:02:02] XYZで均一になってないとUVが
[00:02:05] 崩れちゃうのでそういったものがある場合
[00:02:07] はコントロールAからスケールを適用して
[00:02:09] あげる必要があります
[00:02:11] あとは不要なメッシュの削除ですねこの
[00:02:14] ドロワーズで隠れるお尻の部分とかこの体
[00:02:18] のこの辺りですねこの辺り削除したりと
[00:02:21] かっていうのもやってあげる必要があると
[00:02:22] 思いますだいたい伝えたいことは伝えられ
[00:02:26] たかなと思うのでまずは顔のUVから
[00:02:29] 展開していこうと思いますまあその前に
[00:02:31] ハット下を作るところからやろうと思い
[00:02:33] ます
[00:02:36] 作ってなかった
[00:02:38] 口の中の歯と舌を作ってあげようと思い
[00:02:41] ますあんま見えないところだしさっくり
[00:02:44] 作ってあげようと思いますシフトSで
[00:02:47] カーソルをワールド原点にしてからシフト
[00:02:50] へメッシュ
[00:02:54] 便利かなレン追加して食べきりで編集まだ
[00:02:57] 入ってshaちっちゃくして愛でイン
[00:03:01] セット
[00:03:04] でここ消す
[00:03:06] こことここSY0でまっすぐする
[00:03:10] でミラーモディファイア追加する
[00:03:16] 真ん中のメイン消すでコントロール1で
[00:03:20] サボテンションサービスの
[00:03:24] これで押し出ししたらもう
[00:03:28] 春っぽく
[00:03:30] 見えるくない見えるうん
[00:03:34] このここ
[00:03:36] ちょびっとだけ前に出すくらいでいいとな
[00:03:38] 前歯は結構まっすぐな感じでいいんじゃ
[00:03:41] ないかな
[00:03:42] [音楽]
[00:03:44] アニメ風のモデルだったらね
[00:03:48] ちょっとここにもループ追加して
[00:03:54] もうちょっと
[00:03:55] 上向きがいいかな
[00:03:58] [音楽]
[00:04:09] もう大体こんな感じでいいかなぁ気に入ら
[00:04:14] なかったらアプリ書いたりしない上の歯で
[00:04:17] 来たらシフトでセットでしたね下げて
[00:04:20] [音楽]
[00:04:22] SZ-1くるっと逆向きにしてあげます
[00:04:28] でもほぼ
[00:04:30] ぽいかな
[00:04:31] [音楽]
[00:04:33] あとこうちょっとこっちが気になってたら
[00:04:35] いいか
[00:04:35] [音楽]
[00:04:37] 一緒に舌も作れますねシフトAから
[00:04:40] メッシュキューブ追加してエセクイーンと
[00:04:45] ちっちゃくして
[00:04:45] [音楽]
[00:04:49] 編集モードでSZでちっちゃくして
[00:04:54] 奥の面要らないから消してあげて
[00:04:58] ミラーマニファーや追加するのと
[00:05:00] コントロール1でサブディビジョン
[00:05:02] サーフェイス追加します
[00:05:05] もうちょっと前持ってきて聞いて押し出し
[00:05:09] て
[00:05:10] Rで回転して
[00:05:15] 何分厚くなくていいかな
[00:05:17] [音楽]
[00:05:19] このハニーいい感じに収まるくらいにして
[00:05:23] あげましょうか
[00:05:26] ここまで分厚くなくていい気がするので
[00:05:34] 簡単だけどこんな感じでいいかな
[00:05:38] 要するによって
[00:05:40] 舌ペロって出したりとかそういうのがあっ
[00:05:42] たらもうちょっと割り多くしたりとかって
[00:05:45] しなきゃいけないと思うんですけどなかっ
[00:05:47] たらこれくらいシンプルでも特に問題ない
[00:05:50] んじゃないかと思います
[00:05:52] そしたらカットした両方選択して
[00:05:56] ちっちゃくしGZで上に上げ口の中に持っ
[00:06:01] てきてあげます
[00:06:02] [音楽]
[00:06:03] 結構ちっちゃ目でもいいかも
[00:06:06] [音楽]
[00:06:08] なあ
[00:06:10] くらいとりあえずこれからの位置に持って
[00:06:13] きておきます
[00:06:13] [音楽]
[00:06:16] 下の方はもうちょっと後ろでもいいかも
[00:06:18] [音楽]
[00:06:20] 明日ももっと奥行き
[00:06:24] こんくらいでもいいかも
[00:06:26] もうちょいちっちゃくてもいいかなこれ
[00:06:28] くらい結構こういう
[00:06:32] イラスト風のキャラのモデルのホロライブ
[00:06:36] とかね
[00:06:38] 全中見てみるとめっちゃちっちゃくしてる
[00:06:40] んですよねなのでそれに倣ってこれくらい
[00:06:42] にしておきます細かい
[00:06:46] 位置調整はシェイプキーあいうえおとか
[00:06:49] 作る時に調整してあげようと思います
[00:06:51] ついでにコレクションも移動しておきます
[00:06:54] ねヘッドのコレクションにMキーでポイっ
[00:06:57] とそしてあと下はOKです
[00:07:02] [音楽]
[00:07:05] あと下を作ったところで次は顔のUV展開
[00:07:09] をやってみようと思いますアクセサリー
[00:07:13] 紙カラー
[00:07:14] 表示して顔だけの表示にしてあげます
[00:07:18] 眉毛若干埋まってるから直してあげるか
[00:07:21] 新しい
[00:07:24] [音楽]
[00:07:26] ウィンドウ開いて
[00:07:27] UVエディターにしますここで展開一度仮
[00:07:31] で展開していたものを展開し直すんです
[00:07:34] けど
[00:07:35] 展開し直したらもうこのテクスチャ使え
[00:07:37] なくなっちゃうのでもしまだ使いたいとか
[00:07:40] ワンちゃんまだ見るみたいな人は
[00:07:42] オブジェクトごと複製して置いてあげて
[00:07:45] ください
[00:07:45] 今顔の前面と後ろの面を分けるようなCM
[00:07:51] が入ってますけれどもこの状態で一度前の
[00:07:54] 部分を展開してみましょうか
[00:07:57] 洗濯して天気の1番でフロントビューにし
[00:08:02] た状態でUで
[00:08:03] プロジェクトfromViewっていうの
[00:08:06] 選んであげます正面から投影するような形
[00:08:08] でこれで展開できたと思います
[00:08:12] 歪みとかを確認するために
[00:08:14] [音楽]
[00:08:16] 世代入れた開いて
[00:08:18] [音楽]
[00:08:20] シフトAからテクスチャー
[00:08:23] [音楽]
[00:08:24] チェッカーテクスチャーっていうの開いて
[00:08:28] でコントロールTで
[00:08:31] UVの情報を参照してくださいねっていう
[00:08:34] のでUVからマッピングのところ繋いで
[00:08:36] あげてから
[00:08:37] カラーベースカラーにつないで
[00:08:41] [音楽]
[00:08:43] Zキーでマテリアルビュープレビュー
[00:08:45] 移動しますここのチェッカーテクスチャの
[00:08:48] スケールを上げてあげると
[00:08:50] チェッカーの大きさ調節できます
[00:08:52] こんなもんでいいかな正面あたりはいいん
[00:08:56] だけど後ろの方もわーって
[00:08:58] めちゃくちゃ伸びちゃってますよねそこは
[00:09:00] 直してあげようと思いますここの2個の
[00:09:03] 矢印みたいなアイコンからUV同期をオン
[00:09:06] にしてあげて
[00:09:08] もう一旦顔の前面だけ表示されるように
[00:09:11] シフトいい位置しておきますでまあまあ
[00:09:15] うまくいってそうなところ例えばここら辺
[00:09:17] とか
[00:09:19] 大丈夫そうなところだけPでピン留めして
[00:09:23] みます
[00:09:24] この辺もいいかPでピン留め
[00:09:28] [音楽]
[00:09:30] こっからここもまあ良さそう
[00:09:34] ここここここここここここここ
[00:09:38] このままいいかなっていうところはPで
[00:09:42] ピン留めしてあげます
[00:09:44] ボトが宮地貼ってなっちゃってるのでこれ
[00:09:47] ちょっと上に上げて
[00:09:53] この辺りをちょっと下に下げてっていう
[00:09:55] 感じでちょっとだけ空間空けてあげます
[00:10:00] を入れて真ん中のところピン留めした状態
[00:10:03] でもう1回Aで全部選択して茹で展開って
