[00:00:00] では次は髪表示させて
[00:00:03] 髪もサクッとやってみましょう予備展開
[00:00:07] これそのまま
[00:00:09] CM入れなくて行けそうゆうで展開と結構
[00:00:14] 綺麗ですね
[00:00:16] こっち向きにしとこうか
[00:00:18] 髪にもチェッカーのベリアルをやっててみ
[00:00:21] ましょうか新しいマテリアル作って
[00:00:28] 両マテリアル作りますでコントロールT
[00:00:33] 押す
[00:00:34] シフトAから
[00:00:37] テクスチャーテカテクスチャー作る
[00:00:39] エフェクターをベクターカラーをカラーに
[00:00:42] してこれをもうXで削除
[00:00:45] これで実家模様見えてますね
[00:00:48] 綺麗なチェック模様だこれにもペア
[00:00:52] 割り当ててあげて
[00:00:54] なんだこれこれいらないな
[00:00:57] ドロップエッジスして
[00:01:00] この三角のところコントロールEでマーク
[00:01:03] シームこれペラペラの板状態になってる
[00:01:06] からこれだけで大丈夫ですねAで選択して
[00:01:10] 茹で展開
[00:01:12] これも綺麗ですね
[00:01:15] バールで回転して気持ちまっすぐな活用し
[00:01:19] ておきましょうか真ん中のラインが気持ち
[00:01:22] まっすぐな感じ
[00:01:24] これもなんか近くに置いておくと
[00:01:28] その真ん中の前髪以外は全部
[00:01:32] ミラーモディファイを使ってるんですけど
[00:01:34] 左右非対称で塗れるように見られるように
[00:01:37] チェック入れておきます形状はほぼ左右
[00:01:40] 対称だけど塗りがちょっと違いますよねの
[00:01:44] 感じは出してあげたらいいかなと
[00:01:47] どんどん他のパーツをやってきますねこの
[00:01:51] パーツは
[00:01:52] ここからピュッと生えてるからこそここ
[00:01:56] からぴょーいって生えてるから
[00:02:00] ラバが生え始めるところ
[00:02:02] CM入れて
[00:02:05] 方もDM入れて
[00:02:08] あとは
[00:02:10] 紙の表側と裏側を分ける感じで
[00:02:14] ここ
[00:02:17] ソリッドビューの方が見やすいかな
[00:02:22] [音楽]
[00:02:24] でコントロール入れマークシーム
[00:02:29] 1個頂点選んでコントロールクリックとか
[00:02:32] でも最短距離で選べるので
[00:02:36] 使ってあげてもいいかも
[00:02:40] 出てきたかなたら全部
[00:02:44] 選択して
[00:02:46] Uで展開
[00:02:48] 綺麗ですね
[00:02:50] これが表側これも表側
[00:02:55] [音楽]
[00:02:59] でこれとこれとこれが
[00:03:02] 裏側ですね裏側はあんまり見えないし塗り
[00:03:07] もそんなしない予定なのでちっちゃくして
[00:03:10] おきましょうかS
[00:03:12] 0.5で半分くらいのサイズにしておき
[00:03:14] ますこれで後で綺麗に並べようこれにも
[00:03:19] 部屋のマテリアルを割り当てている
[00:03:22] 今度はこの顔のすぐ近くのやつですねもう
[00:03:26] やり方的には全く他と全く一緒ぴょいって
[00:03:31] 生え始めてるところ
[00:03:36] にシーム入れるというの
[00:03:39] と表側と裏側を開けるところにシーム入れ
[00:03:43] るって言うのですね
[00:03:48] [音楽]
[00:03:56] や逆にここはクリアシームしておいて
[00:04:01] ここにもCM入れて
[00:04:06] これで一塊みたいな感じで夜で展開きれい
[00:04:12] これも幽霊展開をきれい全部選択して
[00:04:17] 展開
[00:04:18] 綺麗ですね真夏でも絶対見えないだろう
[00:04:22] みたいなところは消しちゃってもいいかも
[00:04:24] なぁ
[00:04:25] こっから上は私の場合もう見えなさそうだ
[00:04:28] から消しちゃおう
[00:04:31] この辺見えてないよねどこからも見えて
[00:04:35] ないじゃあいらんだろうっていうことで
[00:04:38] Xでフェイス消してあげます
[00:04:41] 一応もう一回転換し
[00:04:43] 展開し直して
[00:04:46] わかりやすい向きにしてあげる
[00:04:49] 毛先がしたみたい
[00:04:51] これもこっち抜きしておいて
[00:04:55] でこれとこれとこれは裏側だからS10S
[00:05:00] 0.5でちょっとちっちゃくしておく
[00:05:06] 1個1個展開しておいて後で綺麗に
[00:05:10] 並べようという文法ですね
[00:05:14] ごめんねもうヘアーのマテリアルを
[00:05:16] 割り当てる次はツインでやってあげますね
[00:05:19] これ若干難しいか
[00:05:23] うーんとここ
[00:05:28] 入れ
[00:05:29] マークシーム
[00:05:31] 今日やってることは同じだけど
[00:05:38] マーク
[00:05:45] からここで
[00:05:48] [音楽]
[00:05:49] マーク
[00:05:52] 表と裏で
[00:05:55] ワークシーム
[00:05:56] [音楽]
[00:06:04] ここここでマークシップ
[00:06:08] [音楽]
[00:06:12] ここにもCM入れなきゃダメだ
[00:06:17] [音楽]
[00:06:20] ソリッドベアの方がみんなが見やすいから
[00:06:24] これとこれで
[00:06:26] 茹で展開大丈夫そう大丈夫そうだったら3
[00:06:30] D部屋でHKで表示して
[00:06:34] LL
[00:06:36] Uで展開大丈夫そうこの大きい塊は
[00:06:41] この辺とこの辺とかでいいかな表裏分ける
[00:06:46] ようなところに
[00:06:48] CM入れてあげて
[00:06:52] 展開
[00:06:53] [音楽]
[00:06:54] 悪くはないかなこれの間のところが
[00:06:59] ぱっくり開いてるのが気になるけど
[00:07:02] 一旦Pでピン留めしてから男の子S0で
[00:07:08] くっつけて上げてこの辺のパクリなっ
[00:07:14] ちゃったとこだけaltpでピン留め外し
[00:07:17] て
[00:07:18] 毎回展開してし直してみると
[00:07:22] さっきよりちょっといいちょっと
[00:07:25] 重なってるところは
[00:07:28] ちょっと直してあげると
[00:07:30] こんな感じでいいかこれもね若干ぷっくり
[00:07:34] になってるけどもう手動で直してあげても
[00:07:36] いいかも
[00:07:45] こんな感じで
[00:07:48] 妖魔マテリアルも部屋を割り当てておき
[00:07:50] ますうんいいかなじゃあ次後ろ髪ですね
[00:07:57] マテリアル先に割り当てておきますね
[00:07:59] [音楽]
[00:08:01] なんかすでに芯も入ってるけど一旦
[00:08:04] コントロール類でクリアシームしておき
[00:08:06] ます
[00:08:08] 絶妙にクリース入ってるのがそのまま
[00:08:10] 使えるかも
[00:08:12] をクリースかかってるエッジ選んでシフト
[00:08:16] Gでセレクトシミュラーっていう似てる
[00:08:19] やつ選びますよっていうやつなんですけど
[00:08:21] これでクリースってやってあげたら同じ
[00:08:24] ようにクリスかかってるところが選ばれる
[00:08:26] と思います
[00:08:28] ここで一旦
[00:08:30] マークシームって仕上げて
[00:08:31] 不要なところは
[00:08:34] この辺いらないからコントロール入れて
[00:08:37] クリアCMしておきます冷蔵もいらない
[00:08:40] だろうか切っていく
[00:08:44] の右上にメニューを表示させてメイン
[00:08:47] クリースっていうところですねここを
[00:08:49] シュって0にしてあげてください
[00:08:51] あとは細かい
[00:08:54] 毛束が生えてるところは
[00:08:57] ワークシェアをしてあげておっとここも
[00:09:00] そうだしこことここもそうですね
[00:09:04] これで毛束だけ多分選択できるから
[00:09:08] 展開してみる悪くない
[00:09:12] ラバの裏地のところも
[00:09:15] ビューで展開してみる悪く
[00:09:22] ない
[00:09:25] とここもセームいらないかなコントロール
[00:09:30] 入れてクリアシームしてクリスマスもいら
[00:09:33] ないから切っておいて
[00:09:37] これで今見えてる表側外側のところを
[00:09:43] 展開してみようか
[00:09:44] Uで展開
[00:09:48] 丸いか悪くないかよくわから
[00:09:52] ない他のところもしてみよっかのこれ
[00:09:58] とどういうところ
[00:10:00] 側面かな
[00:10:01] 側面の上側のところはCM入れておき
[00:10:04] ましょう
[00:10:06] ここも
[00:10:08] わかりづらいと思うけど
[00:10:09] 側面の一番上のところを
[00:10:11] [音楽]
[00:10:13] こことここ
[00:10:16] マークスイームして
[00:10:18] ビューで展開
[00:10:20] [音楽]
[00:10:21] みんな好きな方向向いてるっていう感じだ
[00:10:24] ね
[00:10:26] [音楽]
[00:10:28] これとかも重なってるから
[00:10:31] 良くないね
[00:10:31] [音楽]
[00:10:33] 髪の
[00:10:34] [音楽]
[00:10:35] 村のところはこういう風にCM入れて
[00:10:37] みようかそれでAでもう一回展開し直すと
[00:10:42] もうそれぞれが別々の向きになった
[00:10:46] [音楽]
[00:10:49] 頭脳外側の経営に関してはこの辺が重なっ
[00:10:53] てるからそれは直した方がいいですね
[00:10:58] こんな感じでいいかな
[00:11:01] こことここを
[00:11:03] つなげちゃうシフトタブでスナップオンに
[00:11:07] してスナップ先頂点にしてピッてやって
[00:11:10] あげたら繋がってくれると思いますでこう
[00:11:14] いう風に重なっちゃってると問題だから
[00:11:16] ビデオを動かしてあげる
[00:11:17] [音楽]
[00:11:21] あとで綺麗に並べようこれで一応それぞれ
[00:11:25] 展開し終わりましたね
[00:11:27] [音楽]
[00:11:29] 画像を見てみると前髪のこの
[00:11:32] 毛束三つは左右非対称で色塗られててそれ
[00:11:36] 以外は左右対称になってるっぽいのでこの
[00:11:40] サイドの前髪は
[00:11:42] UVを重ねずにそれ以外は重ねるみたいな
[00:11:45] 感じでやってあげようと思います
[00:11:48] 後ろ髪に関してはこう後ろから見た時に
[00:11:52] 完全に左右対称だなっていうのが割とバレ
[00:11:54] やすいので
[00:11:55] 後ろ髪は一部左右
[00:11:59] 非対称で塗るために
[00:12:01] 未来よりチェック入れて左右のUV重ね
[00:12:03] ないみたいな感じにしてあげましょうかで
[00:12:06] は並べていきます
[00:12:08] まず前髪この辺持ってきて
[00:12:13] 実家模様ちょっとわかりづらいから
[00:12:15] スケールもっと大きくしておきますね
[00:12:19] オブジェクトシフト選択して
[00:12:26] 両方同時に
[00:12:28] 練習モード入ってあげて
[00:12:31] 今感じか3Dビューのチェッカー模様が
[00:12:34] だいたい同じ大きさになるのを意識して
[00:12:39] スケールかけてあげます
[00:12:43] [音楽]
[00:12:47] これはもう左右で
[00:12:49] UV重ねる予定だからちょっとここでも
[00:12:52] 良くてとりあえずこの
[00:12:55] [音楽]
[00:12:57] 辺を試着して
[00:13:02] この辺を
[00:13:05] ついては
[00:13:09] これした方が
[00:13:13] えっとこれ裏地っぽいやつは
[00:13:17] 0.5でちっちゃくしておきうわぁ
[00:13:21] [音楽]
[00:13:25] わかりやすい向きに回転しておきますね
[00:13:28] 180
[00:13:30] [音楽]
[00:13:35] 全体ちっちゃくして
[00:13:40] とりあえずこの辺を
[00:13:44] 顔の時にやったけどここのオーバーレイの
[00:13:48] メニューの中のモディファイドエッジスに
[00:13:50] チェック入れたら
[00:13:51] ミラーモディファイアーで生成される
[00:13:54] 未来Uで作れてるオブジェクトの反対側の
[00:13:57] UV確認できます
[00:14:02] ルートhで表示にしてたやつもう1回表示
[00:14:05] させてもう1回展開して見
[00:14:09] づらいからちょっと一旦こっち移動させて
[00:14:11] 真ん中にラインが入ってないやつが裏地な
[00:14:15] のでこれs
[00:14:17] 0.5でちっちゃくしておきます
[00:14:20] 紙オブジェクトを全部
[00:14:23] 選択してちょっとずつここ
[00:14:26] 綺麗に埋めていってあげます
[00:14:29] これはどこだみたいなありませんこれ
[00:14:33] ツインテの細いやつ
[00:14:37] [音楽]
[00:14:40] 血を折るとHとかして3Dビューで
[00:14:44] 非表示になって隠れてるやつがないかどう
[00:14:46] か確認してあげてください
[00:14:49] これぽいってやって後ろ髪
[00:14:55] この辺に持ってこようかな後で綺麗に後で
[00:14:59] アプリ綺麗になってるあとはサイドの紙と
[00:15:04] かツインテールをこの上側のところに持っ
[00:15:06] てきてあげようかな
[00:15:09] [音楽]
[00:15:15] これだと後ろ髪がちょっと変えそうだ低
[00:15:18] すぎるみたいだからこれもちょっと大きく
[00:15:20] して
[00:15:21] [音楽]
[00:15:24] これかそうすると全体入れなくなるから
[00:15:28] メッセージちっちゃくして
[00:15:35] このUVのメニューの中のアベレージ
[00:15:38] アイランドスケールっていうのを使うと3
[00:15:42] Dビューでのサイズを考慮して3Dビュー
[00:15:47] で大きいところは
[00:15:48] UVも大きくしてくれるちっちゃいところ
[00:15:50] ちっちゃくしてくれるみたいなこともでき
[00:15:52] ますね
[00:15:53] 適宜使ってあげてください
[00:15:56] オブジェクトのスケールが今のやつに関係
[00:15:58] してくれるからその辺は要注意
[00:16:02] [音楽]
[00:16:38] 礼に収まるように並べていく
[00:16:42] [音楽]
[00:18:03] の3D空間ちょっと同じ
[00:18:07] 並びになるようにちょっと並べ替えたりし
[00:18:09] てみました
[00:18:10] こういう風に好きみたいな形にグニョンっ
[00:18:14] てカーブを描いているようなやつとかは
[00:18:17] 例えばだけどSX0行ったまっすぐにして
[00:18:21] Pでピン留めして
[00:18:24] ベルで選んでUで展開ってし直してみると
[00:18:28] あんまりなんていうか無駄にスペース取ら
[00:18:31] ないからそういうやり方してあげてもいい
[00:18:34] かもグリー
[00:18:36] ンって曲がったやつとかは結構
[00:18:38] 無駄にスペース取ったりするんですよね
[00:18:43] [音楽]
[00:18:45] 若干スッキリしたあんま変わらんかな
[00:18:49] えーっとこれもか
[00:18:53] ちょっと気持ちスッキリしてる感じがある
[00:18:57] かなって
[00:19:02] 猫耳をこう顔のUVと髪のUVどっちに
[00:19:06] 一緒にしてあげるかっていうのをずっと
[00:19:08] 迷ってたんですけど
[00:19:10] 猫耳にもえっとシェイプキーで動きをつけ
[00:19:14] てあげるとして例えばこう
[00:19:17] 喜びの顔の時にピョンって上がったりとか
[00:19:19] したらオブジェクトは一塊にしてあげよう
[00:19:23] かなと思うのでそれだったらUVも顔と
[00:19:27] 一緒にしてあげたらいいかなと思うので
[00:19:29] 髪は紙で
[00:19:31] これで穴を埋めてあげようと思います
[00:19:39] これもまっすぐにしようかな
[00:19:42] X0でピン留めして
[00:19:44] [音楽]
[00:19:46] 展開
[00:19:46] グインって曲がっているところとかは
[00:19:49] まっすぐしちゃってもいいかもしれない
[00:19:55] [音楽]
[00:20:34] 結構UVに余裕がありそうなので書き込み
[00:20:37] が多そうなこのこの3つの毛束をもう
[00:20:41] ちょっと大きく変化してあげますね前回と
[00:20:45] いうか
[00:20:46] UVを大きくしてあげます
[00:20:48] [音楽]
[00:21:19] だいたい解像度的には同じに
[00:21:22] 合わせて並べた後にまだ余裕がありそう
[00:21:25] だったら
[00:21:27] 塗りが多そうなところのUVを大きくし
[00:21:31] たりしたらいいかな
[00:21:33] [音楽]
[00:21:59] 島同士の隙間は
[00:22:01] 開けすぎると解像度がもったいないし近
[00:22:04] すぎると
