[00:00:00] には体のUV展開をやっていこうと思い
[00:00:04] ますまずはインナーとか肌とかからやって
[00:00:06] いきますね
[00:00:07] アウターHキーで非表示にしておきます
[00:00:12] このインナーのワンピースは両面表示にし
[00:00:15] て体
[00:00:18] 隠れる部分も消してあげようかなと思って
[00:00:20] たんですけれどもやっぱり下から見た時に
[00:00:23] そのお腹の部分とか消してたら多分見え
[00:00:27] ちゃうのでやっぱりこれにも厚みをつけて
[00:00:30] あげようと思います
[00:00:32] 厚みをつけてお腹のあたりで蓋してあげる
[00:00:35] 感じですねで
[00:00:36] 蓋より上の部分の体のメッシュを消すって
[00:00:39] いう風にしてあげようと思いますちょっと
[00:00:41] 何言ってるかわかんないかもだけど一回
[00:00:43] やってみたら多分わかると思う
[00:00:46] まずはそれでファイモディファイアを追加
[00:00:49] して
[00:00:50] [音楽]
[00:00:52] 元へ見てみると
[00:00:53] 厚みはかなり
[00:00:54] 薄い感じなので
[00:00:56] 塗りは0.001とかにしておきます
[00:01:00] うっすら厚みついてるくらいにしておいて
[00:01:03] ミラーモディファイアの1個上に持ってき
[00:01:06] ておきますこのリムのところのフィルは
[00:01:10] チェック外しておきますそしたらここの
[00:01:13] 厚み部分が
[00:01:14] 目張られてない状態ですねこれでミラーと
[00:01:19] それディファイをコントロールAで適用し
[00:01:21] てあげます
[00:01:21] [音楽]
[00:01:23] 息をしたらもう一度オートミラーから
[00:01:25] ミラーモリファイを追加して一番上に持っ
[00:01:28] てきておきますねこれで内側にも
[00:01:32] 厚み部分がついてくれたと思います
[00:01:35] [音楽]
[00:01:37] お腹のこの辺りの段で蓋をしてあげようと
[00:01:41] 思うので内側のループを
[00:01:44] ALTクリックで選択してコントロールE
[00:01:47] でマークシームってした後に
[00:01:50] 面選択モードで
[00:01:52] 内側の面1個選択してコントロールLって
[00:01:55] やってあげるとつながってる部分が選択
[00:01:58] できるかと思います
[00:02:01] でここはもういらないのでXで
[00:02:04] 面を消してあげると今
[00:02:07] 蓋してあげるって言ってたこの面を選択し
[00:02:09] てFで面を張って愛でインセットして
[00:02:14] マージットセンターしてから
[00:02:19] こうピッと真ん中でくっつけてあげます
[00:02:22] ちょっと上にしてあげたらいいかな
[00:02:25] この端っこ部分にも
