[00:00:00] では続いて体の方もサブスタンスで塗って
[00:00:03] いこうと思いますFBXでエクスポートし
[00:00:06] てベイクするところまでちょっとやって
[00:00:08] みるのでちょっと見ておいてください
[00:00:10] [音楽]
[00:00:13] 紙と顔を表示にして
[00:00:16] 全選択してからF4からエクスポート
[00:00:21] FBXで
[00:00:24] ボディとかわかりやすい名前にして
[00:00:26] セレクトオブジェクトチェック入れて
[00:00:28] メッシュだけオンにしてエクスポート
[00:00:31] FBXでエクスポートします
[00:00:34] サブスタンスを開いてファイルNewから
[00:00:38] ファイルのセレクトのところから
[00:00:42] ボディを選んで開くでそのままOKで
[00:00:47] 読み込みます
[00:00:50] これで一度ベイクしてみますと
[00:00:54] [音楽]
[00:00:56] アンビエントオクルージョンの表示を確認
[00:00:58] してみるとわかりやすいと思うんですけど
[00:01:01] こういうポシェットとアウターがくっつい
[00:01:04] てるところとか
[00:01:06] 密接にくっついてるところ
[00:01:07] 栄養が真っ黒になっちゃうんですよね
[00:01:10] あとはこの肩紐がこう斜めにかかってる
[00:01:13] やつが
[00:01:15] UV左右で重ねてるためにこっち側にも影
[00:01:18] が出ちゃったりとか
[00:01:19] メイクしたAOのテクスチャはそのまま
[00:01:23] 影の表現とかにも使えたりもするので
[00:01:25] 真っ黒にしてるのを避けるためにこの
[00:01:28] 近づいてるやつを一度
[00:01:31] ブレンダー内でちょっと
[00:01:32] 離しておいてFXで読み込んでからメイク
[00:01:35] するっていうやり方にしようと思います
[00:01:36] この真っ暗になってても別に気にならない
[00:01:39] よって人はそのままでも大丈夫です
[00:01:42] ブレンダーに戻りましてまずは
[00:01:44] コレクションを複製しておきます一致
[00:01:46] ずらしたら戻すのめんどくさいので
[00:01:48] アクセサリーとボディのコレクションを
[00:01:51] それぞれ右クリックしてデュプリケーと
[00:01:54] コレクションでコレクションを複製します
[00:01:56] ボディの方もゆったり系としてこれも別の
[00:02:01] コレクション内に入れておこうかな新しい
[00:02:04] コレクションを作ってもうちょっと上に
[00:02:07] やっ
[00:02:10] この辺持ってきて名前をベイクとかに書い
[00:02:13] ておきますね今
[00:02:15] 複製したやつをこっちに移してACC
[00:02:20] 001もこっちに移しておきます
[00:02:22] キーボードの2番でベイクコレクション
[00:02:24] だけ表示して今一つ目のコレクションと2
[00:02:28] つ目のコレクションで全く同じ位置に
[00:02:30] オブジェクトがある状態ですコレクション
[00:02:32] ごとにざっと移動してみましょうか
[00:02:34] アクセサリーのフォルダ右クリックして
[00:02:37] エレクトオブジェクスってやると
[00:02:39] コレクション以下にあるオブジェクト全部
[00:02:41] 選べるんですけどこれでGZでグイッと上
[00:02:45] に動かしてあげますさらにアウターの
[00:02:48] オブジェクトも選んで
[00:02:50] 持つと上にグイッと動かしてオブジェクト
[00:02:54] 同士が
[00:02:55] 干渉しないように
[00:02:56] AOで影が落ちないようにずらしてあげ
[00:03:00] ます
[00:03:03] これとこれが近いとこれに
[00:03:06] 尻尾の影が落ちちゃうので
[00:03:09] 影っていうのかなアンビエント
[00:03:10] クルージョンは
[00:03:12] 影とはちょっと違う気もしますけど
[00:03:14] [音楽]
[00:03:16] これももうちょっと上やってこれももう
[00:03:19] ちょっと横にずらしたいけど真ん中の
[00:03:23] ところがずれちゃうのでミラー
[00:03:25] オブジェクトを真ん中にあるオブジェクト
[00:03:27] を選んであげて左右対称になるようにして
[00:03:30] あげます
[00:03:32] これもかぶってるの多分問題だから
[00:03:34] ちょっと下げて
[00:03:39] さらに全体もうちょっと上にあげましょう
[00:03:43] かこれでもうさすがに干渉しないだろうと
[00:03:46] これでFBXにエクスポートしてピークし
[00:03:49] てみますねAで全部選択してF4から
[00:03:53] エクスポートFBXでボディとして
[00:03:57] エクスポートします
[00:03:59] タブスタンス開いてエディットから
[00:04:02] プロジェクトコンフィギュレーションを
[00:04:05] 開いて
[00:04:06] このファイルセレクトのところからFBX
